Feature,Importance
Destination Port,0.06177775794322111
Init_Win_bytes_backward,0.05034326596439068
Fwd Packet Length Max,0.031963487150653606
Flow IAT Mean,0.02859244275432641
Max Packet Length,0.026839390739896905
Avg Bwd Segment Size,0.026791537467290693
Bwd Header Length,0.02608230760034501
Flow Duration,0.02579043493355469
min_seg_size_forward,0.025683936443014203
Bwd Packet Length Max,0.02512962554152901
Fwd IAT Mean,0.023440733656221915
Total Length of Bwd Packets,0.023373850505013494
Bwd Packet Length Mean,0.0230951941238048
Packet Length Mean,0.022096242842074624
Subflow Bwd Bytes,0.022029505717623653
Flow IAT Std,0.021694758497250378
Fwd Header Length.1,0.02137200212977934
Fwd IAT Max,0.02115338429570373
Flow IAT Max,0.020843391503863863
Fwd Packet Length Mean,0.02034510060666165
Init_Win_bytes_forward,0.01905552041179003
Fwd IAT Std,0.019048523046157357
Avg Fwd Segment Size,0.018787770690561017
Subflow Fwd Bytes,0.018668200904097314
Fwd IAT Total,0.018436635250049384
Total Length of Fwd Packets,0.018435310599154403
Average Packet Size,0.01793447393299616
Fwd Header Length,0.017084147773647515
Packet Length Variance,0.016772074175746755
Bwd Packet Length Min,0.016324684688780414
Subflow Fwd Packets,0.01602180738723521
Total Backward Packets,0.01599174217308683
Bwd Packets/s,0.015106397034310685
Packet Length Std,0.014500890894285688
Total Fwd Packets,0.0141348438395363
Bwd Packet Length Std,0.013486936557200943
Fwd IAT Min,0.013424670763077436
Flow IAT Min,0.01266308662858929
act_data_pkt_fwd,0.011711553885089649
Fwd Packet Length Std,0.011072294179096059
Active Min,0.009427175915415769
Subflow Bwd Packets,0.009410202714019175
Flow Bytes/s,0.008936971022372934
Bwd IAT Total,0.00858148174167483
PSH Flag Count,0.007667489367062329
Bwd IAT Min,0.007272551073006394
Idle Min,0.006667916748109138
Bwd IAT Mean,0.006517503280731835
Bwd IAT Max,0.006513856027812455
Idle Mean,0.006409276392936754
Bwd IAT Std,0.006010396310153864
Flow Packets/s,0.005953352623570122
Active Mean,0.005491646212477783
ACK Flag Count,0.005287979122110414
Idle Max,0.005222547307463193
Fwd Packets/s,0.005051670184252781
Min Packet Length,0.004950395457146671
Fwd Packet Length Min,0.003456169068762499
URG Flag Count,0.0034259105963836216
SYN Flag Count,0.0027128842532207166
Active Max,0.00210430587178133
Idle Std,0.002096595699323887
Fwd PSH Flags,0.0017729144462650581
Down/Up Ratio,0.001375991172819842
Active Std,0.0003252464503864508
FIN Flag Count,0.0002574153993178703
CWE Flag Count,1.2191654147903667e-07
Fwd URG Flags,9.627127187225194e-08
RST Flag Count,2.2122900677053794e-08
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
